platform_key,policy_title,source_url,version_label,effective_date,retrieved_date,violation_category,section_title,section_reference,rule_summary
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,SELF_HARM_SUICIDE_ENCOURAGEMENT,"Keep it Legal","Standard 1","Players may not produce content or behave in a way that advocates or promotes illegal activities or encourages suicide or self-harm."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,ILLEGAL_DANGEROUS_ACTIVITY,"Keep it Legal","Standard 1","Players may not produce content or behave in a way that advocates or promotes illegal activities."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,HARASSMENT_BULLYING,"Do your part to keep everyone safe","Standard 2","Players may not produce content or behave in a way that is designed to exploit, harm, or threaten anyone - children, adults, or otherwise through forms of harassment or bullying."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,HATE_DISCRIMINATION,"Do your part to keep everyone safe","Standard 2","Players may not produce content or behave in a way that is designed to exploit, harm, or threaten anyone - children, adults, or otherwise through forms of discrimination and/or hate."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,THREATS_VIOLENT_INTIMIDATION,"Do your part to keep everyone safe","Standard 2","Players may not produce content or behave in a way that is designed to exploit, harm, or threaten anyone - children, adults, or otherwise."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,SEXUAL_HARASSMENT_SEXUAL_CONTENT,"Do your part to keep everyone safe","Standard 2","Players may not produce content or behave in a way that is designed to exploit, harm, or threaten anyone - children, adults, or otherwise."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,ILLEGAL_DANGEROUS_ACTIVITY,"Do your part to keep everyone safe","Standard 2","Players may not produce content or behave in a way that is designed to exploit, harm, or threaten anyone - children, adults, or otherwise."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,SPAM_COMMUNICATION_ABUSE,"Turn that spam into substance","Standard 3","Players may not grow their popularity through giveaways, asking for likes and followers, or other inauthentic behavior."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,HARASSMENT_BULLYING,"Keep your content clean","Standard 4","Players may not behave in a way that harasses or spews hate towards others."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,HATE_DISCRIMINATION,"Keep your content clean","Standard 4","Players may not behave in a way that harasses or spews hate towards others."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,ILLEGAL_DANGEROUS_ACTIVITY,"Keep your content clean","Standard 4","Players may not behave in a way that harasses or spews hate towards others, or promotes illegal or dangerous activity."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,SCAMS_FRAUD_PHISHING,"Fraud benefits no one","Standard 5","Players may not commit any acts of fraud to gain an unfair advantage."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,ACCOUNT_PLATFORM_ABUSE,"Where there are limits, there's a reason","Standard 6","Players may not abuse XBOX services to circumvent a suspension and/or restriction, resell/redistribute XBOX services."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,CHEATING_EXPLOITS_UNFAIR_PLAY,"Harmful behavior has no place on XBOX","Standard 7","Players may not engage in activity that involves cheating, tampering, and the use of exploits to gain an unfair advantage."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,IMPERSONATION_DECEPTION,"Respect the right of others","Standard 8","Players may not use unauthorized intellectual property, access accounts they do not own, misuse copyrighted materials, or disclose unreleased game endings or content before official announcements."
XBOX,"XBOX Community Standards","https://www.xbox.com/en-US/legal/community-standards#i","2026 version",,2026-09-24,OTHER_PLATFORM_SPECIFIC,"Respect the right of others","Standard 8","Players may not use unauthorized intellectual property, access accounts they do not own, misuse copyrighted materials, or disclose unreleased game endings or content before official announcements."
